RESUMEN DE DATOS OBTENIDOS PARA LA VARIABLE "VALOR AGREGADO BRUTO (VAB) POR SECTOR"
CIUDAD,AÑO,DATO
MANTA,2012,{"agricultura; ganaderia; silvicultura y pesca":142307.37;"explotacion de minas y canteras":53.81;"manufactura":295912.51;"suministro de electricidad y de agua":12602.18;"construccion":249044.39;"comercio":275015.58;"alojamiento y servicios de comida":26634.66;"transporte; informacion y comunicaciones":150504.21;"actividades financieras":29056.65;"actividades profesionales e inmobiliarias":124576.87;"administracion publica":101019.4;"ensenanza":72301.2;"salud":66437.17;"otros servicios":25884.16}
MANTA,2013,{"agricultura; ganaderia; silvicultura y pesca":191697.24;"explotacion de minas y canteras":83.55;"manufactura":253832.68;"suministro de electricidad y de agua":9693.48;"construccion":280916.76;"comercio":333986.82;"alojamiento y servicios de comida":32028.95;"transporte; informacion y comunicaciones":178387.46;"actividades financieras":28155.09;"actividades profesionales e inmobiliarias":166478.24;"administracion publica":101579.27;"ensenanza":74039.56;"salud":76928.79;"otros servicios":23937.19}
MANTA,2014,{"agricultura; ganaderia; silvicultura y pesca":234997.81;"explotacion de minas y canteras":67.87;"manufactura":292283.68;"suministro de electricidad y de agua":12574.74;"construccion":251478.28;"comercio":411609.35;"alojamiento y servicios de comida":53051.38;"transporte; informacion y comunicaciones":220480.12;"actividades financieras":31845.42;"actividades profesionales e inmobiliarias":193952.36;"administracion publica":73430.03;"ensenanza":80248.87;"salud":76351.55;"otros servicios":19366.69}
MANTA,2015,{"agricultura; ganaderia; silvicultura y pesca":191173.83;"explotacion de minas y canteras":97.08;"manufactura":263433.27;"suministro de electricidad y de agua":16178.67;"construccion":289728.4;"comercio":403073.72;"alojamiento y servicios de comida":37575.96;"transporte; informacion y comunicaciones":247171.74;"actividades financieras":26376.67;"actividades profesionales e inmobiliarias":243859.41;"administracion publica":62447.45;"ensenanza":86648.01;"salud":87223.46;"otros servicios":22922.21}
MANTA,2016,{"agricultura; ganaderia; silvicultura y pesca":140780.16;"explotacion de minas y canteras":122.24;"manufactura":200209.76;"suministro de electricidad y de agua":16227.28;"construccion":391113.72;"comercio":312022.43;"alojamiento y servicios de comida":36471.03;"transporte; informacion y comunicaciones":274426.82;"actividades financieras":26990.02;"actividades profesionales e inmobiliarias":285593.81;"administracion publica":60948.15;"ensenanza":88908.4;"salud":70380.96;"otros servicios":29837.65}
MANTA,2017,{"agricultura; ganaderia; silvicultura y pesca":163307.83;"explotacion de minas y canteras":92.17;"manufactura":237311.68;"suministro de electricidad y de agua":20749.28;"construccion":427850.34;"comercio":314330.97;"alojamiento y servicios de comida":40389.12;"transporte; informacion y comunicaciones":237894.76;"actividades financieras":35918.29;"actividades profesionales e inmobiliarias":269650.92;"administracion publica":42711.28;"ensenanza":86459.96;"salud":78770.51;"otros servicios":41310.21}
ORELLANA,2007,{"agricultura; ganaderia; silvicultura y pesca":24465.29;"explotacion de minas y canteras":908265.42;"manufactura":43038.79;"suministro de electricidad y de agua":4956.48;"construccion":8091.6;"comercio":8867.81;"alojamiento y servicios de comida":3290.76;"transporte; informacion y comunicaciones":9422.73;"actividades financieras":2281.14;"actividades profesionales e inmobiliarias":25432.01;"administracion publica":33194.15;"ensenanza":13395.82;"salud":4349.75;"otros servicios":286.34}
ORELLANA,2008,{"agricultura; ganaderia; silvicultura y pesca":19615.64;"explotacion de minas y canteras":1443541.23;"manufactura":45523.21;"suministro de electricidad y de agua":5789.91;"construccion":12052.98;"comercio":9284.84;"alojamiento y servicios de comida":3740.77;"transporte; informacion y comunicaciones":10610.23;"actividades financieras":2441.11;"actividades profesionales e inmobiliarias":27851.89;"administracion publica":41944.81;"ensenanza":15982.57;"salud":4330.63;"otros servicios":413.52}
ORELLANA,2009,{"agricultura; ganaderia; silvicultura y pesca":22655.48;"explotacion de minas y canteras":795030.09;"manufactura":45088.22;"suministro de electricidad y de agua":3838.64;"construccion":11385.76;"comercio":10199.57;"alojamiento y servicios de comida":4163.88;"transporte; informacion y comunicaciones":12688.13;"actividades financieras":2954.49;"actividades profesionales e inmobiliarias":29975.58;"administracion publica":30241.97;"ensenanza":18378.42;"salud":5465.71;"otros servicios":359.1}
ORELLANA,2010,{"agricultura; ganaderia; silvicultura y pesca":17373.7;"explotacion de minas y canteras":1519485.11;"manufactura":53358.87;"suministro de electricidad y de agua":5371;"construccion":11106.83;"comercio":11402.87;"alojamiento y servicios de comida":4315.87;"transporte; informacion y comunicaciones":15116.59;"actividades financieras":3448.58;"actividades profesionales e inmobiliarias":31882.62;"administracion publica":41244.89;"ensenanza":20180.02;"salud":6765.59;"otros servicios":783.76}
ORELLANA,2011,{"agricultura; ganaderia; silvicultura y pesca":19057.05;"explotacion de minas y canteras":1650508.28;"manufactura":34484.66;"suministro de electricidad y de agua":2089.03;"construccion":15682.97;"comercio":9978.14;"alojamiento y servicios de comida":4195.73;"transporte; informacion y comunicaciones":17699.7;"actividades financieras":4023.48;"actividades profesionales e inmobiliarias":16675.92;"administracion publica":41240.57;"ensenanza":22468.13;"salud":6459.85;"otros servicios":1753.22}
ORELLANA,2012,{"agricultura; ganaderia; silvicultura y pesca":16770.72;"explotacion de minas y canteras":2251285;"manufactura":26549.47;"suministro de electricidad y de agua":4261.09;"construccion":14228.88;"comercio":10898.1;"alojamiento y servicios de comida":5550.12;"transporte; informacion y comunicaciones":11694.86;"actividades financieras":4543.49;"actividades profesionales e inmobiliarias":11097.7;"administracion publica":27308.54;"ensenanza":27074.84;"salud":9018.49;"otros servicios":1826.87}
ORELLANA,2013,{"agricultura; ganaderia; silvicultura y pesca":22132;"explotacion de minas y canteras":1874826.85;"manufactura":7330.28;"suministro de electricidad y de agua":4333.64;"construccion":18923.63;"comercio":12354.9;"alojamiento y servicios de comida":5212.71;"transporte; informacion y comunicaciones":14876.43;"actividades financieras":4070.81;"actividades profesionales e inmobiliarias":13918.25;"administracion publica":29964.31;"ensenanza":26731.81;"salud":11007.8;"otros servicios":2150.19}
ORELLANA,2014,{"agricultura; ganaderia; silvicultura y pesca":23342.63;"explotacion de minas y canteras":1467432.17;"manufactura":7162.65;"suministro de electricidad y de agua":6357.35;"construccion":21007.81;"comercio":10583.09;"alojamiento y servicios de comida":4856.73;"transporte; informacion y comunicaciones":16528.71;"actividades financieras":4855.94;"actividades profesionales e inmobiliarias":16208.31;"administracion publica":33793.55;"ensenanza":29409.99;"salud":14041.75;"otros servicios":2611.65}
ORELLANA,2015,{"agricultura; ganaderia; silvicultura y pesca":19585.45;"explotacion de minas y canteras":590042.72;"manufactura":6538.57;"suministro de electricidad y de agua":10497.61;"construccion":26500.31;"comercio":13512.54;"alojamiento y servicios de comida":4059.36;"transporte; informacion y comunicaciones":17416.06;"actividades financieras":3970.03;"actividades profesionales e inmobiliarias":17434.31;"administracion publica":50547.39;"ensenanza":32217.41;"salud":17293.86;"otros servicios":6378.95}
ORELLANA,2016,{"agricultura; ganaderia; silvicultura y pesca":15984.46;"explotacion de minas y canteras":478813.21;"manufactura":5616.5;"suministro de electricidad y de agua":12978.83;"construccion":26737.9;"comercio":12134.73;"alojamiento y servicios de comida":3812.29;"transporte; informacion y comunicaciones":16394.6;"actividades financieras":4202.68;"actividades profesionales e inmobiliarias":15044.39;"administracion publica":55853.59;"ensenanza":32261.86;"salud":17906.82;"otros servicios":8211.29}
ORELLANA,2017,{"agricultura; ganaderia; silvicultura y pesca":21941.66;"explotacion de minas y canteras":663778.82;"manufactura":5723.77;"suministro de electricidad y de agua":16388.87;"construccion":18718.06;"comercio":9722.69;"alojamiento y servicios de comida":4172.73;"transporte; informacion y comunicaciones":20315.7;"actividades financieras":5084.85;"actividades profesionales e inmobiliarias":12193.61;"administracion publica":41357.86;"ensenanza":34351.31;"salud":19376.65;"otros servicios":5676.74}
PORTOVIEJO,2007,{"agricultura; ganaderia; silvicultura y pesca":44740.31;"explotacion de minas y canteras":0;"manufactura":51852.96;"suministro de electricidad y de agua":5272.77;"construccion":86921.13;"comercio":105105.73;"alojamiento y servicios de comida":9480.74;"transporte; informacion y comunicaciones":37440.05;"actividades financieras":17716.18;"actividades profesionales e inmobiliarias":57442.3;"administracion publica":98030;"ensenanza":55426.62;"salud":28865.36;"otros servicios":9422.32}
PORTOVIEJO,2008,{"agricultura; ganaderia; silvicultura y pesca":50418.25;"explotacion de minas y canteras":0;"manufactura":68027.28;"suministro de electricidad y de agua":6456.75;"construccion":127864.19;"comercio":112523.26;"alojamiento y servicios de comida":10960.93;"transporte; informacion y comunicaciones":49959.83;"actividades financieras":23439.97;"actividades profesionales e inmobiliarias":78867.29;"administracion publica":150279.33;"ensenanza":62108.14;"salud":33745.06;"otros servicios":13894.33}
PORTOVIEJO,2009,{"agricultura; ganaderia; silvicultura y pesca":44326.89;"explotacion de minas y canteras":0;"manufactura":53268.65;"suministro de electricidad y de agua":5895.12;"construccion":190949.81;"comercio":126387.07;"alojamiento y servicios de comida":15240.82;"transporte; informacion y comunicaciones":54430.49;"actividades financieras":21225.35;"actividades profesionales e inmobiliarias":92381.74;"administracion publica":199292.24;"ensenanza":74181.33;"salud":46858.48;"otros servicios":11426.94}
PORTOVIEJO,2010,{"agricultura; ganaderia; silvicultura y pesca":54877.9;"explotacion de minas y canteras":0;"manufactura":53467.36;"suministro de electricidad y de agua":9606.43;"construccion":227895.15;"comercio":146243.57;"alojamiento y servicios de comida":15627.8;"transporte; informacion y comunicaciones":73486.76;"actividades financieras":20146.27;"actividades profesionales e inmobiliarias":99151.26;"administracion publica":179624.62;"ensenanza":78201.39;"salud":66711.94;"otros servicios":14522.2}
PORTOVIEJO,2011,{"agricultura; ganaderia; silvicultura y pesca":76378.95;"explotacion de minas y canteras":91.52;"manufactura":40713.2;"suministro de electricidad y de agua":6848.57;"construccion":387246.2;"comercio":194088.67;"alojamiento y servicios de comida":18138.27;"transporte; informacion y comunicaciones":56987.69;"actividades financieras":24313.53;"actividades profesionales e inmobiliarias":146887.9;"administracion publica":190951;"ensenanza":73415.98;"salud":63465.8;"otros servicios":12272.83}
PORTOVIEJO,2012,{"agricultura; ganaderia; silvicultura y pesca":111216.1;"explotacion de minas y canteras":67.97;"manufactura":40151.66;"suministro de electricidad y de agua":10291.99;"construccion":343866.58;"comercio":166744.95;"alojamiento y servicios de comida":17036.81;"transporte; informacion y comunicaciones":84791.3;"actividades financieras":26145.33;"actividades profesionales e inmobiliarias":131234.48;"administracion publica":120688.08;"ensenanza":83306.69;"salud":78915.15;"otros servicios":16744.83}
PORTOVIEJO,2013,{"agricultura; ganaderia; silvicultura y pesca":90403.41;"explotacion de minas y canteras":62.76;"manufactura":23676.28;"suministro de electricidad y de agua":7873.2;"construccion":414952.83;"comercio":203917.45;"alojamiento y servicios de comida":21343.84;"transporte; informacion y comunicaciones":86198.51;"actividades financieras":25640.3;"actividades profesionales e inmobiliarias":109095.66;"administracion publica":121023.55;"ensenanza":87055.23;"salud":85301.55;"otros servicios":18548.85}
PORTOVIEJO,2014,{"agricultura; ganaderia; silvicultura y pesca":72947.07;"explotacion de minas y canteras":69;"manufactura":28894.36;"suministro de electricidad y de agua":10322.77;"construccion":499859.45;"comercio":202317.52;"alojamiento y servicios de comida":41404.06;"transporte; informacion y comunicaciones":93350.07;"actividades financieras":35910.93;"actividades profesionales e inmobiliarias":102639.8;"administracion publica":112304.42;"ensenanza":87227.98;"salud":83460.19;"otros servicios":18222.46}
